artist,track,mean_rank,occurence,top10_occurence,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track_id,track_pop
2 Chainz Featuring Travis Scott,4 AM,79.18181818181819,11,0,3715672.0,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.86,17lzZA2AlOHwCwFALHttmp,255.56,0.0,1.0,0.271,-7.21,1.0,0.516,2017-09-06,252.70857,75.012,4.0,1.0,1nX9KhK3Fff27SnrIor2Yb,72.0
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,60.75,20,0,,,,,,,,,,,,,,,,,,
2 Chainz Featuring YG & Offset,Proud,97.5,2,0,,,,,,,,,,,,,,,,,,
2 Chainz x Gucci Mane x Quavo,Good Drank,87.0,3,0,,,,,,,,,,,,2017-07-12,,,,,,
"2 Chainz, Drake & Quavo",Bigger > You,56.5,2,0,,,,,,,,,,,,,,,,,,
21 Savage,Bank Account,21.25,28,0,,,,,,,,,,,,2018-01-31,,,,,,
21 Savage,Famous,94.0,1,0,,,,,,,,,,,,,,,,,,
21 Savage & Metro Boomin,My Choppa Hate N****s,83.5,2,0,,,,,,,,,,,,,,,,,,
"21 Savage, Offset & Metro Boomin",Mad Stalkers,99.0,1,0,,,,,,,,,,,,,,,,,,
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,75.33333333333333,3,0,,,,,,,,,,,,,,,,,,
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,65.71428571428571,7,0,,,,,,,,,,,,,,,,,,
5 Seconds Of Summer,Want You Back,61.0,1,0,3798524.0,"boy band,dance pop,pop,post-teen pop",0.85,5Rl15oVamLq7FbSb0NNBNy,173.0815,0.24961,0.0,0.727,-4.915,1.0,0.64,2018-03-07,167.41007,98.03,4.0,1.0,2vHfabj6nFebekTYODqntl,73.0
5 Seconds Of Summer,Youngblood,25.92,25,5,3798524.0,"boy band,dance pop,pop,post-teen pop",0.85,5Rl15oVamLq7FbSb0NNBNy,203.41787,0.238,7.0,0.278,-5.114,0.0,0.317,2018-11-28,200.55075,120.274,4.0,0.977,55S2PQgSMYAhgoTCcGCDfw,86.0
6LACK Featuring J. Cole,Pretty Little Fears,76.0,1,0,,,,,,,,,,,,2018-09-26,,,,,,
6ix9ine,Billy,62.5,8,0,,,,,,,,,,,,2018-04-25,,,,,,
6ix9ine,Gotti,99.0,1,0,,,,,,,,,,,,2018-04-25,,,,,,
6ix9ine,Gummo,29.842105263157894,19,0,2897942.0,emo rap,0.91,7gZfnEnfiaHzxARJ2LeXrf,157.64331,0.19723,2.0,0.567,-4.926,1.0,0.438,2018-04-04,152.00943,157.036,4.0,0.801,4HbiCvH1R7mVOJ7KY7JQBD,78.0
6ix9ine,Kooda,70.875,8,0,2897942.0,emo rap,0.91,7gZfnEnfiaHzxARJ2LeXrf,142.5824,0.16295,1.0,0.509,-4.455,1.0,0.488,2018-03-07,137.27057,91.167,4.0,1.0,0tYHqwTW4s6VuPWDSD7n7K,73.0
6ix9ine Featuring Anuel AA,BEBE,64.25,4,0,,,,,,,,,,,,2018-10-03,,,,,,
6ix9ine Featuring Bobby Shmurda,Stoopid,63.142857142857146,7,0,2897958.0,emo rap,0.91,7gZfnEnfiaHzxARJ2LeXrf,152.0,0.41238,11.0,0.603,-4.296,1.0,0.487,2018-11-28,147.1971,149.989,4.0,0.939,1jQvUmf16VE9WQCPuK2e8K,85.0
6ix9ine Featuring DJ SPINKING,TATI,56.6,5,0,2897948.0,emo rap,0.91,7gZfnEnfiaHzxARJ2LeXrf,154.56522,0.23823,11.0,0.582,-5.462,0.0,0.471,2018-07-04,149.10113,91.981,4.0,0.991,6kp0inxIexxSiDJfWqq0ZL,80.0
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,14.166666666666666,18,10,,,,,,,,,,,,,,,,,,
6ix9ine Featuring Tory Lanez & Young Thug,Rondo,73.0,1,0,,,,,,,,,,,,,,,,,,
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,68.625,8,0,,,,,,,,,,,,,,,,,,
A Boogie Wit da Hoodie,No Promises,83.5,2,0,,,,,,,,,,,,,,,,,,
A Boogie Wit da Hoodie,Say A',84.5,2,0,301905.0,"neo mellow,piano rock,pop rock",0.69,5xKp3UyavIBUsGy3DQdXeF,229.4,0.0,2.0,0.709,-8.822,1.0,0.78,2017-10-25,212.59029,141.284,3.0,1.0,6Vc5wAMmXdKIAM7WUoEb7N,77.0
A Boogie Wit da Hoodie Featuring 21 Savage,Undefeated,84.0,1,0,,,,,,,,,,,,2017-10-18,,,,,,
A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,41.09090909090909,11,0,2127622.0,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.82,31W5EY0aAly4Qieq6OFu6I,209.26921,2.02014,5.0,0.348,-5.274,0.0,0.415,2017-09-06,205.89714,129.014,4.0,1.0,1f5cbQtDrykjarZVrShaDI,79.0
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Beast Mode,86.0,1,0,,,,,,,,,,,,,,,,,,
A$AP Ferg Featuring Nicki Minaj,Plain Jane,48.375,24,0,,,,,,,,,,,,2018-03-21,,,,,,
A$AP Rocky Featuring Moby,A$AP Forever,64.0,2,0,4663569.0,"east coast hip hop,hip hop,pop,pop rap,rap,trap music",0.88,13ubrt8QOOCPljQ2FL1Kca,233.06141,0.0,10.0,0.318,-6.49,0.0,0.384,2018-06-06,230.26068,125.999,4.0,0.872,1YmF9PvLhIISIANoMLIYGq,73.0
A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),77.75,8,0,4663569.0,"east coast hip hop,hip hop,pop,pop rap,rap,trap music",0.88,13ubrt8QOOCPljQ2FL1Kca,205.04,0.08649,5.0,0.453,-8.152,0.0,0.467,2018-08-08,205.03999,80.02,4.0,1.0,7ycWLEP1GsNjVvcjawXz3z,86.0
AJR,Burn The House Down,100.0,1,0,545323.0,"modern rock,pop",0.76,6s22t5Y3prQHyaHWUN1R1C,212.6893,0.24385,0.0,0.452,-4.357,1.0,0.524,2018-11-28,201.8859,184.353,4.0,0.733,0j7pdNXDzEVQST5Zcoh5xo,73.0
