artist,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track,track_id,track_pop
John Mayer Featuring Katy Perry,,,,,,,,,,,,2014-01-01,,,,,Who You Love,,
Tessanne Chin,15182.0,reggae fusion,0.36,3gtaVMrNBTAFtlzYTeHNua,231.14132,0.7502,9.0,0.16,-3.517,0.0,0.105,2014-01-01,219.922,154.247,3.0,1.0,I Have Nothing,4Ib4InLIR369amEBFcAjhb,19.0
Pentatonix,2054437.0,a cappella,0.82,26AHtbjWKiwYzsoGoUZq53,255.87864,0.32503,8.0,0.628,-8.24,1.0,0.642,2014-01-01,245.82385,134.007,4.0,0.428,Little Drummer Boy,7BvCDrlYwJ5D9RUqvvs3BT,64.0
Selena Gomez,12437418.0,"dance pop,pop,post-teen pop",0.91,0C8ZW7ezQVs4URX5aX7Kqx,210.29333,0.16834,1.0,0.453,-3.856,0.0,0.49,2014-01-01,202.15873,127.944,4.0,1.0,Slow Down,2OsEJFTfzfjG4oC92cuP2c,60.0
Tessanne Chin ,15182.0,reggae fusion,0.36,3gtaVMrNBTAFtlzYTeHNua,216.37841,0.46381,0.0,0.72,-4.531,1.0,0.729,2014-01-01,207.52834,143.837,4.0,0.998,Let It Be,6D9XBfUFCpnVN2tSP2bETW,25.0
 Adam Levine,,,,,,,,,,,,2014-01-01,,,,,Let It Be,,
Kelly Clarkson,4160629.0,"dance pop,neo mellow,pop,pop rock,post-teen pop,r&b,talent show",0.8,3BmGtnKgCSGYIUhmivXKWX,229.64,0.20345,8.0,0.01,-5.438,1.0,0.266,2014-01-01,219.50984,159.876,4.0,1.0,Underneath The Tree,3YZE5qDV7u1ZD1gZc47ZeR,73.0
B.o.B Featuring 2 Chainz,,,,,,,,,,,,2014-01-08,,,,,HeadBand,,
One Direction,11500250.0,"boy band,dance pop,pop,post-teen pop,talent show",0.84,4AK6F7OLvEQ5QYCBNiQWHq,200.10667,0.58322,1.0,0.881,-2.986,1.0,0.903,2014-01-08,187.28635,118.491,4.0,1.0,Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0,69.0
Enrique Iglesias,7662456.0,"dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical",0.8,7qG3b048QCHVRO5Pv1T5lw,170.14667,0.27279,4.0,0.316,-4.059,1.0,0.38,2014-01-08,165.54667,154.048,4.0,1.0,Heart Attack,2vV6LiBLvVXMBJTyO1ptlz,47.0
Bruno Mars,18304120.0,"pop,post-teen pop",0.9,0du5cEVh5yTK9QJze8zA0C,244.49333,0.0,7.0,0.689,-6.598,1.0,0.807,2014-01-08,231.49714,139.959,4.0,0.879,Gorilla,2ih2U8ttFzCjnQ5njF3SrR,67.0
Maejor Ali Featuring Juicy J ,,,,,,,,,,,,2014-01-08,,,,,Lolly,,
 Justin Bieber,,,,,,,,,,,,2014-01-08,,,,,Lolly,,
Kanye West,8794708.0,"pop rap,rap",0.92,5K4W6rqBFWDnAN6FQUkS6x,229.14667,0.0,1.0,0.411,-2.843,1.0,0.489,2014-01-08,229.14667,152.096,4.0,0.5,Bound 2,3sNVsP50132BTNlImLx70i,67.0
Luke Bryan,,,,,,,,,,,,2014-01-15,,,,,That's My Kind Of Night,,
Ylvis,118726.0,comic,0.53,2lEOFtf3cCyzomQcMHJGfZ,213.70807,0.0,6.0,0.624,-4.292,1.0,0.604,2014-01-15,200.90485,128.008,4.0,0.957,The Fox,5HOpkTTVcmZHnthgyxrIL8,61.0
